gender,height,weight,age,family,rich,curse,can_fly,popular,profession_group,hair_color,clothing_color,eyes_color,skill_color,weapon,equipment,str,int,dex,lux,isWind_Archer
0,166,93,35,1,1,1,1,0,2,6,5,1,4,2,1,6679,2506,1758,4124,0
0,162,45,14,0,0,1,1,0,3,1,3,2,6,4,4,6024,8728,7395,8745,0
1,192,124,43,0,1,1,1,0,2,4,7,5,5,3,3,2660,1794,2000,7519,0
1,181,103,55,1,0,1,0,0,3,1,2,4,4,1,5,6359,7868,3655,6383,0
0,207,81,23,1,0,1,0,1,1,4,4,2,3,6,5,8678,9235,7055,8277,0
0,183,95,54,1,1,0,0,0,4,5,7,6,5,3,3,9810,8531,5986,1614,0
1,170,101,42,1,0,0,1,0,3,2,6,5,3,5,5,4860,6797,6796,94,0
1,194,105,14,1,1,0,1,1,2,6,7,3,5,1,3,6585,4081,1242,3682,0
0,191,123,43,0,1,1,0,1,4,3,1,5,6,1,2,7796,3419,4232,4224,0
1,151,114,36,1,1,1,1,1,2,2,1,6,7,1,2,8815,171,6580,6087,0
0,176,88,45,0,1,1,1,1,2,7,2,3,6,2,1,6826,6161,7844,5087,0
1,192,57,35,0,0,0,1,1,4,2,6,6,6,6,3,2891,8696,1579,545,0
1,195,95,39,0,0,1,1,0,1,3,2,7,6,3,5,2287,1020,9407,6124,0
1,183,46,58,0,0,1,0,1,2,6,1,1,2,1,5,9873,4542,4587,670,0
1,187,44,55,0,0,1,0,1,1,4,6,5,4,1,3,7931,7481,1376,5000,0
0,208,113,24,1,1,1,0,0,1,6,4,2,1,6,3,2269,5072,3106,5154,0
1,206,45,44,0,0,1,1,0,4,4,6,4,4,5,1,1192,5921,9168,966,0
1,188,69,29,1,1,0,1,1,4,3,5,7,6,1,2,9177,5419,7762,3276,0
0,193,49,57,0,0,0,0,0,3,3,6,1,6,2,3,918,1296,5268,2514,0
0,185,108,33,0,1,1,0,1,4,3,5,4,2,6,3,5315,1370,3843,5829,0
0,177,76,11,1,1,1,0,1,5,7,3,6,5,2,5,8915,8242,4320,6991,0
1,158,69,56,0,0,1,1,1,3,3,4,2,2,6,1,5990,6425,7071,4880,0
1,147,102,17,0,0,1,0,0,2,2,1,6,7,2,2,5067,249,6512,2463,0
1,174,93,23,1,0,1,1,0,2,5,5,2,1,2,5,9302,5023,8952,5660,0
0,193,112,15,0,0,1,0,1,2,4,1,7,4,4,2,3378,6232,1967,2580,0
1,176,48,56,1,0,0,0,0,3,4,4,2,1,6,2,9334,7913,7128,8287,0
1,155,110,12,1,0,1,1,1,1,2,2,2,6,2,4,9218,5794,5865,8203,0
1,207,121,13,0,0,0,0,0,1,5,1,5,5,5,4,6250,7263,5468,3873,0
0,196,73,49,0,1,1,0,0,5,7,2,2,5,6,2,3139,7112,2171,8363,0
0,161,102,20,0,0,0,1,0,4,4,6,3,3,5,4,6974,5426,2678,7175,0
0,142,98,23,1,0,1,1,1,1,2,2,2,2,2,5,7269,2438,5783,4557,0
0,143,42,19,0,0,0,0,0,3,6,1,3,5,3,4,8499,9106,4627,5750,0
0,179,56,35,1,1,1,0,0,5,7,6,1,1,2,2,777,2158,7277,4952,0
1,141,48,45,0,0,0,0,0,1,7,2,4,4,4,1,9174,5547,1026,6403,1
0,187,64,29,0,1,0,0,0,4,7,1,7,1,5,3,9336,380,7195,117,0
1,157,89,58,0,0,0,0,0,4,2,5,4,4,4,3,3029,8172,4239,4813,1
1,179,96,35,1,1,1,1,0,5,4,7,7,2,2,1,5988,7460,7314,6259,0
1,179,99,50,0,0,1,0,0,1,2,6,2,5,6,1,6019,7350,3584,6708,0
1,203,57,46,1,0,1,1,0,2,3,7,7,1,5,1,212,2512,8852,8240,0
1,176,121,31,0,1,0,1,1,3,1,1,4,2,6,2,1261,7737,5673,8680,0
0,186,111,19,0,1,1,0,1,1,5,6,4,1,6,5,7540,2439,5801,1347,0
1,159,126,18,1,0,1,0,1,3,4,2,7,4,2,2,1258,3478,5703,7699,0
0,169,76,26,0,1,0,0,0,3,3,6,5,4,4,1,5811,2661,9758,4867,0
1,154,106,44,0,0,1,0,1,2,7,2,7,3,3,5,8399,9460,3993,2092,0
0,179,84,34,1,1,0,1,1,5,3,4,1,7,1,2,1035,9529,914,2546,0
1,207,111,52,0,1,0,1,0,2,5,4,7,1,2,2,6488,4892,8046,9028,0
0,206,83,38,0,1,0,0,0,3,3,7,1,2,1,4,4781,8041,3090,8097,0
1,177,93,58,0,1,0,1,1,4,1,5,7,6,6,5,4543,5749,9334,4304,0
1,200,76,24,1,0,1,1,1,3,3,4,7,2,3,5,6237,4413,8124,575,0
0,157,108,31,1,0,1,1,1,2,3,3,1,1,3,1,4183,6007,5914,3044,0
1,168,47,49,0,1,0,1,1,4,1,4,4,1,2,4,2389,9267,4660,7042,0
1,150,69,16,1,0,0,1,0,1,7,5,4,6,5,3,7058,6791,4385,9502,0
1,167,124,27,0,0,1,0,1,3,2,7,5,1,3,5,8593,2595,9901,1168,0
1,146,88,13,1,1,1,0,0,4,6,4,4,6,2,2,4461,3837,2265,1789,0
1,154,74,55,1,0,0,0,1,4,2,5,5,4,2,1,405,4635,4943,7303,0
1,207,127,50,1,1,1,0,1,4,6,1,3,1,4,3,7836,7059,3579,9318,1
0,141,76,22,0,0,0,0,0,4,2,6,4,2,2,5,2999,9314,1329,5872,0
1,140,88,35,1,1,0,1,1,4,1,2,2,3,6,3,4239,5916,9151,2546,0
0,143,58,58,0,1,1,1,1,3,2,2,1,6,1,1,6022,5559,1242,5959,0
0,161,123,46,0,1,0,0,1,4,6,2,4,5,5,3,9146,5941,2023,8448,0
0,148,43,31,1,1,0,1,0,4,2,7,5,4,1,3,1669,3755,6190,7621,0
0,150,109,35,1,1,0,1,0,1,7,1,2,7,1,5,9725,7694,6666,8029,0
0,195,47,17,0,1,1,0,0,4,1,1,7,5,6,1,5820,3955,8478,3463,0
0,192,88,35,1,1,0,0,1,5,2,3,7,3,4,1,7015,889,8481,1380,0
0,187,107,44,0,1,1,1,0,3,3,7,4,3,5,4,3186,6462,1411,7164,0
0,162,108,58,0,1,1,0,1,5,4,2,4,3,4,1,5364,9126,2364,6302,0
0,177,46,57,1,1,0,1,0,4,4,6,7,6,4,1,1363,6859,5334,9744,0
0,143,112,13,0,0,1,1,1,4,2,4,2,1,6,5,7910,8713,911,7382,0
1,186,47,12,0,1,1,1,1,4,3,6,5,7,4,3,2873,1320,2622,1111,1
0,185,64,30,0,0,1,0,0,1,2,6,6,4,6,4,272,8759,2540,928,0
0,202,40,48,1,0,0,1,1,3,3,4,2,7,4,5,8023,762,4589,5398,0
0,180,76,15,1,0,1,1,1,5,1,5,1,2,1,4,5135,4003,1461,7353,0
1,182,74,26,0,1,1,1,0,5,2,1,7,2,1,3,2646,4394,5256,4750,0
1,174,116,23,1,1,0,1,0,2,5,4,1,5,2,5,5063,7419,8679,7911,0
0,176,63,19,0,1,1,1,0,3,2,7,2,1,5,4,4183,8744,5626,2888,0
1,180,84,56,0,1,0,0,0,2,3,3,6,7,5,5,2659,3733,8865,6445,0
0,140,101,21,0,0,0,0,0,5,6,7,3,2,3,5,6869,6136,9026,3377,0
1,193,72,53,0,1,0,1,0,2,5,2,6,2,1,3,9849,6835,2088,8385,0
1,188,76,33,1,1,0,0,1,3,1,6,2,5,2,1,8564,967,5654,5810,0
1,189,71,20,1,1,1,1,0,1,4,7,2,5,6,4,8131,2105,8992,8176,0
1,188,109,53,0,1,0,0,1,4,1,3,4,3,1,2,3515,6493,9916,2694,0
1,201,94,38,1,0,1,1,0,2,7,6,7,5,5,2,547,3491,6118,8031,0
1,195,95,59,0,0,1,0,0,2,3,4,2,5,3,1,6056,1250,1019,7435,0
0,193,93,56,0,0,1,1,0,4,1,6,1,3,6,1,690,8691,6925,9853,0
0,202,83,13,0,1,0,1,1,1,7,5,7,2,3,2,4517,4959,91,9171,0
1,167,112,26,0,0,1,0,1,1,1,7,3,7,4,1,3412,7436,7878,5212,1
1,147,106,54,1,1,0,0,1,3,4,6,4,2,4,1,1799,7096,3463,4904,1
0,199,102,53,1,1,1,1,1,3,4,3,7,5,5,1,1594,1971,9445,3809,0
1,198,107,20,1,0,0,0,0,3,7,4,5,2,4,3,922,6812,5992,2365,1
1,188,118,12,1,0,1,1,0,4,6,5,3,1,1,4,7372,4356,2435,5323,0
1,179,118,42,0,0,0,1,1,3,7,1,1,6,5,5,8664,7137,4594,8576,0
0,174,127,56,0,1,1,0,0,5,2,2,7,6,2,2,1792,2833,7648,8927,0
1,161,60,10,0,1,1,1,0,4,5,7,1,2,6,2,4798,3660,8897,9755,0
1,166,124,41,0,0,0,0,0,1,1,2,5,4,6,3,3689,6504,5313,6503,0
1,145,73,48,1,1,0,0,0,2,4,6,5,7,3,5,8565,8117,409,9531,0
0,148,47,46,1,1,0,1,1,5,4,3,3,7,1,4,3989,3212,9183,68,0
1,186,118,53,1,0,1,1,1,4,1,6,2,1,3,4,2255,4103,3031,8754,0
0,202,62,58,1,1,0,0,1,3,7,2,5,7,6,5,9451,6727,5721,6893,0
0,164,79,15,0,1,0,1,1,2,2,1,3,6,1,2,5699,7003,8338,4405,0
0,166,111,36,0,0,0,1,1,3,1,1,6,3,5,4,5273,4127,5367,9133,0
0,205,92,14,1,0,1,1,1,1,6,3,5,3,5,3,6549,8566,3241,5062,0
0,189,103,35,0,0,1,1,0,4,1,3,1,6,5,1,3077,6052,8242,4238,0
0,191,80,30,0,1,1,1,1,1,6,4,4,4,3,5,9691,7390,6592,6564,0
0,187,129,16,0,0,1,0,0,3,4,7,5,3,1,5,4937,6775,8634,3412,0
1,147,63,24,0,0,0,0,0,4,1,6,7,3,5,4,9051,5498,6694,8746,0
0,168,99,55,0,1,1,0,0,3,5,2,2,7,4,4,3922,4294,1018,4292,0
0,145,49,35,0,0,0,1,0,5,2,1,4,3,5,1,532,8793,8058,968,0
1,196,90,53,0,1,0,0,0,2,6,7,1,4,3,3,1258,2286,6730,1526,0
1,189,83,33,0,1,1,0,0,3,4,3,3,3,2,4,8614,9452,6338,9133,0
0,190,59,43,1,1,1,0,0,5,4,3,5,7,6,1,24,5569,7123,5698,0
1,198,92,11,0,0,0,1,1,5,7,7,7,5,1,3,4514,9088,4347,7896,0
1,162,94,52,1,1,0,1,1,5,1,1,4,1,2,2,4167,6397,2032,6489,0
1,140,77,24,0,0,0,1,0,1,4,2,1,2,6,3,2466,1831,5267,2928,0
0,201,126,50,1,0,0,0,0,3,1,7,1,7,5,2,4575,6203,4296,2947,0
1,142,117,26,0,0,0,1,0,2,6,4,6,5,6,5,2352,6378,1782,1906,0
0,200,91,12,0,0,1,1,1,2,1,3,4,5,3,3,5298,9302,1389,7246,0
0,174,80,48,0,1,0,0,1,3,4,2,6,2,6,1,5880,6869,2699,3487,0
1,157,121,14,1,0,0,1,1,3,3,5,3,7,2,1,998,8392,5916,3724,0
1,200,106,58,1,0,1,0,0,1,3,4,4,1,6,2,8254,1097,6480,8928,0
1,152,91,59,0,1,1,1,0,5,7,3,4,5,5,3,3179,8815,2164,2938,0
1,150,85,55,1,1,1,0,1,5,2,4,7,5,1,3,4524,7704,5266,9691,0
1,190,58,59,0,1,1,1,0,2,4,7,2,7,2,1,9577,8482,4237,713,0
1,185,65,55,0,0,0,1,1,2,4,5,7,1,4,3,1981,6882,5063,7065,1
1,191,106,28,1,0,0,0,1,2,3,6,6,1,3,3,442,209,9883,2293,0
0,151,76,44,1,1,0,1,1,2,6,5,1,1,3,5,8864,149,5633,4723,0
0,141,59,18,0,1,0,0,0,4,7,6,6,7,6,5,1781,3255,8300,1981,0
1,182,96,42,0,1,1,0,1,5,7,7,4,1,3,4,9599,2216,4697,9196,0
1,170,86,24,0,0,1,1,0,5,7,6,7,3,4,4,7715,8863,4799,5803,1
1,187,100,29,1,1,1,0,1,1,5,5,4,3,3,4,450,9510,9443,5189,0
0,180,93,25,0,0,0,0,1,3,3,3,5,3,2,5,6662,7794,7224,3264,0
0,200,72,30,0,0,0,1,0,1,3,3,4,1,1,4,2873,5362,2979,9621,0
1,159,120,33,1,1,1,0,1,2,5,6,7,5,3,3,8031,6663,7144,6678,0
1,201,116,10,0,1,1,1,1,1,7,7,5,5,5,2,6649,255,2429,87,0
0,189,51,23,0,1,1,1,1,2,6,4,7,5,2,4,7515,4502,4624,6703,0
0,187,127,35,1,0,0,0,1,5,2,1,3,6,1,5,2211,7164,6104,2627,0
1,154,75,33,1,0,0,1,0,4,2,2,4,3,4,2,5882,9938,9760,4529,1
1,167,118,18,0,1,1,0,0,1,7,1,3,6,2,3,6861,9305,2546,4999,0
1,172,82,14,1,0,0,0,1,1,5,1,3,7,4,4,3987,7151,8377,8786,1
0,167,121,42,1,1,1,0,1,1,3,1,7,1,3,4,5395,4082,8976,6929,0
1,163,76,40,1,0,0,1,0,1,6,1,1,3,1,4,9529,286,5866,3813,0
0,209,87,52,1,1,1,0,1,5,4,3,7,7,3,5,4817,6642,5255,577,0
1,193,46,30,1,0,0,0,1,5,2,2,5,1,1,3,3672,7183,6396,2763,0
1,149,126,23,1,1,1,1,1,2,1,2,3,4,2,5,386,2809,7422,5722,0
0,187,67,51,0,1,0,1,0,3,1,3,3,6,6,1,894,2948,233,8944,0
0,159,71,19,1,0,0,0,0,2,7,4,5,5,6,1,4730,1563,8514,4863,0
0,156,65,43,0,0,0,0,1,2,7,7,3,6,5,5,5245,3343,6319,5957,0
0,207,129,35,0,1,1,1,1,1,7,5,7,4,3,3,3622,499,9258,1040,0
1,176,56,14,0,0,0,0,0,2,5,3,1,6,1,3,5347,553,4753,3588,0
0,209,44,30,1,1,0,1,0,1,2,3,1,2,4,1,2296,7436,6270,398,0
1,190,121,56,1,0,1,0,1,4,1,1,1,2,1,1,7846,2338,3488,225,0
1,200,123,38,0,0,1,1,1,1,2,2,6,4,4,5,7992,6693,6251,5264,1
0,200,64,39,0,0,1,1,1,2,4,6,1,6,1,3,8562,2176,4121,3972,0
1,166,64,12,0,0,1,1,0,1,2,3,7,4,2,1,1450,6543,2285,5932,0
1,179,128,41,1,0,0,0,1,3,5,2,6,6,5,1,7693,8685,9698,3381,0
0,209,115,40,1,1,0,0,1,1,2,5,5,6,1,4,8143,1553,188,6431,0
1,153,40,34,0,1,0,1,0,1,4,1,1,1,2,3,2073,4739,7666,261,0
1,184,71,21,1,1,1,0,0,3,3,7,4,5,5,2,5795,5936,5107,2943,0
1,144,55,43,0,1,0,0,0,5,2,7,7,7,5,3,5047,2076,1572,1322,0
0,190,74,32,0,0,1,0,0,2,2,6,4,3,2,1,7741,7219,7713,7973,0
0,193,63,30,1,0,0,0,0,5,4,4,6,6,6,3,3973,3921,5431,6124,0
1,173,68,47,1,1,0,0,0,1,6,7,2,6,6,3,4627,7456,4882,14,0
